query,original_question,category,subclass,question_1,question_2,winner
[AO|WHAT] When was the first car made in america?,When was the first car made in america?,AO,WHAT,WHAT should be the first type of car production machine?,END,Question 1
[AO|WHEN] What year is it according to persian calendar?,What year is it according to persian calendar?,AO,WHEN,END,WHAT can you mean by when?,Question 1
[AO|WHERE] When did the original toy story come out?,When did the original toy story come out?,AO,WHERE,"Wait, but in the example given, the query is ""When did the original toy story come out?"" So, the ambiguity could be from whether ""toy story"" refers to a particular documentary or a fiction film.",WHAT?,Question 2
[AO|WHAT] Who sang i'm telling you i'm not going?,Who sang i'm telling you i'm not going?,AO,WHAT,病歴: ?,,Question 2
[AO|WHERE] Who wrote the theme song for a different world?,Who wrote the theme song for a different world?,AO,WHERE,,WHAT IS A WIZ?,Question 1
[AO|WHEN] Who has become the new member of upsc?,Who has become the new member of upsc?,AO,WHEN,WHAT do you think is news report?,WHAT DID?,Question 2
[AO|WHERE] Where was the movie safe haven filmed at?,Where was the movie safe haven filmed at?,AO,WHERE,WHAT: Which location was the film Safe Haven shot at?,WHAT is location?,Question 1
[AO|WHERE] Where is the great mosque of djenne located?,Where is the great mosque of djenne located?,AO,WHERE,WHAT is the name of the great mosque located in djenne?,WHAT is found in the location of the great mosque of jenne?,Question 1
[AO|WHEN] How many times did the broncos win the superbowl?,How many times did the broncos win the superbowl?,AO,WHEN,WHAT=1 day after?,"WHAT does the acronym ""EM"" stand for?",Question 1
[AO|WHAT] Who has the most hits in major league baseball?,Who has the most hits in major league baseball?,AO,WHAT,At,"When did the author of this question start writing full-time? "" Who have the most hits in minor league baseball?""",Question 2
[AO|WHERE] Where were most factories located in the industrial revolution?,Where were most factories located in the industrial revolution?,AO,WHERE,,,Question 2
[AO|WHERE] Where was once i was a beehive filmed?,Where was once i was a beehive filmed?,AO,WHERE,Which location was once i was a beehive filmed?,WHAT= ?!,Question 1
[AO|WHEN] When does california vote for a new governor?,When does california vote for a new governor?,AO,WHEN,WHAT_IS: Which new governor?,When does California vote for a new governor?,Question 2
[AO|WHOM] Winner of worst cooks in america season 4?,Winner of worst cooks in america season 4?,AO,WHOM,,- WHAT: What is the context missing?,Question 1
[AO|WHERE] Where was the opening ceremony of the rio paralympics 2016 held?,Where was the opening ceremony of the rio paralympics 2016 held?,AO,WHERE,WHAT WHO SHOULD DO THE TURNS WHILE STAYING AT - WALK.,WHAT is the date of the first episode of shing az?,Question 1
[AO|WHERE] When does the movie mark felt come out?,When does the movie mark felt come out?,AO,WHERE,WHAT= can the movie mark felt come in or where does the movie mark feel come out?,WHAT FILMS DOES HANSEN FEEL?,Question 1
[AO|WHERE] Where does the saying said the actress to the bishop come from?,Where does the saying said the actress to the bishop come from?,AO,WHERE,WHEN DID THE BRIDGE CITY BATTLE CITY?,OVER 1000,Question 1
[AO|WHEN] Who are the democrats running for governor of tennessee?,Who are the democrats running for governor of tennessee?,AO,WHEN,NONE,WHAT CAN YOU BE GIVEN?,Question 2
[AO|WHEN] Which african country has the highest rate of hiv?,Which african country has the highest rate of hiv?,AO,WHEN,/lik What is the difference between the UK and American version of football?,,Question 2
[AO|WHERE] Where was twilight breaking dawn part 1 filmed?,Where was twilight breaking dawn part 1 filmed?,AO,WHERE,WHAT IS THE FILM NAME?,WHOVHXNKW=,Question 2
[AO|WHOM] Who is the serial killer in bates motel?,Who is the serial killer in bates motel?,AO,WHOM,,,Question 2
[AO|WHEN] When was ice dancing introduced in the olympics?,When was ice dancing introduced in the olympics?,AO,WHEN,WHAT: When was ice dancing introduced in the Olympics?,WHAT IS THE WEATHER?,Question 1
[AO|WHERE] When is season 6 of baby daddy coming out?,When is season 6 of baby daddy coming out?,AO,WHERE,WHAT: Who are you asking about the baby daddy when it is season 6 of coming out?,WHAT=where is the missing word in this situation?,Question 2
[AO|WHEN] Who had the most power in sumerian society?,Who had the most power in sumerian society?,AO,WHEN,,WHAT did the shadooori want?,Question 1
[AO|WHEN] What south american country was settled by the portuguese?,What south american country was settled by the portuguese?,AO,WHEN,Is your question asking about the country where the event occurred or the country that settled a particular region in South America?,So the clarifying question should be: Which South American country was settled by Portuguese settlers (the people from Portugal)?,Question 2
[AO|WHERE] What is the name of india's first arctic research station setup?,What is the name of india's first arctic research station setup?,AO,WHERE,,NONE,Question 2
[AO|WHERE] What term do we use for the lowest layer of the atmosphere?,What term do we use for the lowest layer of the atmosphere?,AO,WHERE,contains unfamiliar.,MAKE DID YOU MEAN TURBONAUT?,Question 2
[AO|WHEN] When was the last time world cup was in us?,When was the last time world cup was in us?,AO,WHEN,WHAT: Who and when?,Who are the three biggest leagues around?,Question 1
[AO|WHOM] Who plays jack kelly in newsies on broadway?,Who plays jack kelly in newsies on broadway?,AO,WHOM,Mahlon Pitty,,Question 2
[AO|WHAT] Brightest star in the constellation lyra dan word?,Brightest star in the constellation lyra dan word?,AO,WHAT,"WHAT is the brightest star in ""The Darkest"" ?","Question: Do you mean the brightest star in the constellation ""Lyra Dan"" or a different constellation?",Question 2
[AO|WHEN] When is the english premier league going to start?,When is the english premier league going to start?,AO,WHEN,,WHAT is the start time of the english premier league?,Question 2
[AO|WHEN] Where did the seminole lived before the trail of tears?,Where did the seminole lived before the trail of tears?,AO,WHEN,WHAT DID THE SEMINOLI COME FROM?,## Please use the following format. For EM: - UNF: - CONT: - When did he have relations with the French? For LA: - WHOM - The 3G or 4G? For AO: - WHEN - Before or during what era?,Question 2
[AO|WHERE] Where is the state of new york located?,Where is the state of new york located?,AO,WHERE,WHAT is the new york state located?,In the case of the clarifying question: Which specific location has to do with the clarification of the ambiguous question?,Question 2
[AO|WHEN] When does american's got talent come on?,When does american's got talent come on?,AO,WHEN,"WHATWhen does ""American's got talent"" come on?",I'm when does emmys got talent come on?,Question 1
[AO|WHERE] Where are the guys from rascal flatts from?,Where are the guys from rascal flatts from?,AO,WHERE,WHAT'S THE ADORABLE DOG NAME FOR THE QUARTER IN?,WHAT IS WHO?,Question 2
[AO|WHAT] Who created the first monotheism known in history?,Who created the first monotheism known in history?,AO,WHAT,,"OVER 12,600 years ago.",Question 2
[AO|WHEN] Who is our present election commissioner of india?,Who is our present election commissioner of india?,AO,WHEN,,,Question 2
[AO|WHEN] Where is the champions league cup final being held?,Where is the champions league cup final being held?,AO,WHEN,WHAT is the ambiguity type contained in this request?,WHAT IS,Question 1
[AO|WHERE] Where is the ritz hotel in paris located?,Where is the ritz hotel in paris located?,AO,WHERE,WHAT is the location of the ritz hotel in Paris?,WHAT IS THE TIME IN THE FRANCE OF THE BRAIN?,Question 1
[AO|WHEN] Who is known as the father of the science?,Who is known as the father of the science?,AO,WHEN,WHAT IS NAP?,,Question 2
[AO|WHERE] When did the first hobbit movie come out?,When did the first hobbit movie come out?,AO,WHERE,WHAT = WHERE WHO?,WHAT IS AND WHEN THE FIRST HOBBIT?,Question 2
[AO|WHAT] When do babies start breathing on their own?,When do babies start breathing on their own?,AO,WHAT,WHAT what kind what condition do you do what when what what did you what when,WHAT?,Question 2
[AO|WHERE] When did the incredibles 2 movie come out?,When did the incredibles 2 movie come out?,AO,WHERE,WHAT IS THE PROBLEM IN THE OUTPUT?,WHAT: Who?,Question 2
[AO|WHOM] Who is speaking in the book of revelation?,Who is speaking in the book of revelation?,AO,WHOM,END,The user query is ambiguous. I'll need to ask for clarification.,Question 2
[AO|WHOM] How many times have the warriors won the finals?,How many times have the warriors won the finals?,AO,WHOM,I'm confused. Who won the finals?,"""ALPAKO"" Will you pay with a ""safavid or ""?""",Question 1
[AO|WHERE] Where was the first buffalo wild wings located?,Where was the first buffalo wild wings located?,AO,WHERE,WHAT'S THE UNFAMILIAR: Are you talking about the UNF or the WHO? Please write CONF or UNW.,"WHAT was the name of the first character from the name of the film that was released by ""inception""?",Question 1
[AO|WHERE] When does the new solo movie come out?,When does the new solo movie come out?,AO,WHERE,WHAT: New Solo movie when?,WHAT: WHAT movie is the new?,Question 1
[AO|WHERE] Where does dana air take off from in lagos?,Where does dana air take off from in lagos?,AO,WHERE,Which airport does the character fly from in Lagos?,WHAT DOES THE AMBITATE OF A SPIRITS AND DAMPER?,Question 1
[AO|WHEN] What is the release date for flash season 4?,What is the release date for flash season 4?,AO,WHEN,WHAT IS THE RELEASE DATE FOR SEASON 4 OF TWELK?,"## Additional details What is the month, and how much later is season 4 of flash?",Question 2
[AO|WHERE] Who came up with the saying the customer is always right?,Who came up with the saying the customer is always right?,AO,WHERE,WHAT IS THE SINCER?,WHAT IS THE THE MEANING OF WHO?,Question 2
[AO|WHAT] When did the handmaid's tale season 2 start?,When did the handmaid's tale season 2 start?,AO,WHAT,"WHAT did you mean by ""When did the handmaid's tale season 2 start?""",WHAT (WHAM),Question 1
[AO|WHERE] Where will the all star game be in 2018 mlb?,Where will the all star game be in 2018 mlb?,AO,WHERE,WHAT IS THE NEW YORK MILVANN?,WHAT ARE THE EMIS?,Question 2
[AO|WHOM] Who is the president of south africa now?,Who is the president of south africa now?,AO,WHOM,Is the user asking about a specific president or the current office's occupant?,"For example, ""Is the question about the current president, a former president, or multiple presidencies?"" But I need to check the exact examples.",Question 1
[AO|WHEN] Who has scored a hat trick against spain?,Who has scored a hat trick against spain?,AO,WHEN,WHAM is the only one who has scored against England?,WHAT has scored a hat trick against Spain?,Question 2
[AO|WHERE] When did pokemon gold and silver come out?,When did pokemon gold and silver come out?,AO,WHERE,WHAT is where=west=over=over=city=or=when?,WHAT V VERSION?,Question 2
[AO|WHAT] Fifa world cup 2014 young player of the tournament?,Fifa world cup 2014 young player of the tournament?,AO,WHAT,,,Question 2
[AO|WHOM] Maddie from suite life of zack and cody full name?,Maddie from suite life of zack and cody full name?,AO,WHOM,FLAGS: Is the full name of maddie from Suite Life of zack and cody?,WHAT=WHOW?,Question 1
